Frame,Stick X,Stick Y,Button Mask,Buttons Pressed
904,0,0,0x0010,R
905,0,0,0x0010,R
906,0,0,0x0010,R
907,0,0,0x0010,R
908,0,0,0x0010,R
909,0,0,0x0010,R
910,0,0,0x0010,R
911,0,0,0x0010,R
912,0,0,0x0010,R
913,0,0,0x0010,R
914,0,0,0x0010,R
915,0,0,0x0010,R
916,0,0,0x0010,R
917,0,0,0x0010,R
918,0,0,0x0010,R
919,0,0,0x0010,R
920,0,0,0x0010,R
921,0,0,0x0010,R
922,0,0,0x0010,R
923,0,0,0x0010,R
924,0,0,0x0010,R
925,0,0,0x0010,R
926,0,0,0x0010,R
927,0,0,0x0010,R
928,0,0,0x0010,R
929,0,0,0x0010,R
930,0,0,0x0010,R
931,0,0,0x0010,R
932,0,0,0x0010,R
933,0,0,0x0010,R
934,0,0,0x0010,R
935,0,0,0x0010,R
936,0,0,0x0010,R
937,0,0,0x0010,R
938,0,0,0x0010,R
939,0,0,0x0010,R
940,0,0,0x0010,R
941,0,0,0x0010,R
942,0,0,0x0010,R
943,0,0,0x0010,R
944,0,0,0x0010,R
945,0,0,0x0010,R
946,0,0,0x0010,R
947,0,0,0x0010,R
948,0,0,0x0010,R
949,0,0,0x0010,R
950,0,0,0x0010,R
951,0,0,0x0010,R
952,0,0,0x0010,R
